case_type,relative_path,true_class,predicted_class,confidence,gradcam_target,output,probability_glioma,probability_meningioma,probability_notumor,probability_pituitary
correct_high_confidence,data/Testing/glioma/Te-gl_390.jpg,glioma,glioma,0.99996567,glioma,reports/figures/v1_gradcam_cases/01_correct_high_confidence_glioma_glioma.png,0.9999656677246094,3.270760862505995e-05,5.219373520048975e-07,1.1855003094751737e-06
correct_lower_confidence,data/Training/glioma/Tr-gl_384.jpg,glioma,glioma,0.43465316,glioma,reports/figures/v1_gradcam_cases/02_correct_lower_confidence_glioma_glioma.png,0.4346524477005005,0.23780016601085663,0.016251303255558014,0.31129616498947144
correct_high_confidence,data/Testing/meningioma/Te-me_282.jpg,meningioma,meningioma,0.9988562,meningioma,reports/figures/v1_gradcam_cases/03_correct_high_confidence_meningioma_meningioma.png,0.0010152187896892428,0.9988561868667603,1.1964959867327707e-06,0.00012743852857965976
correct_lower_confidence,data/Training/meningioma/Tr-me_160.jpg,meningioma,meningioma,0.4518594,meningioma,reports/figures/v1_gradcam_cases/04_correct_lower_confidence_meningioma_meningioma.png,0.22465689480304718,0.4518609941005707,0.04279373213648796,0.2806883454322815
correct_high_confidence,data/Training/notumor/Tr-no_691.jpg,notumor,notumor,0.9999492,notumor,reports/figures/v1_gradcam_cases/05_correct_high_confidence_notumor_notumor.png,8.279673238575924e-06,8.36835170048289e-06,0.9999492168426514,3.414715320104733e-05
correct_lower_confidence,data/Testing/notumor/Te-no_77.jpg,notumor,notumor,0.5062853,notumor,reports/figures/v1_gradcam_cases/06_correct_lower_confidence_notumor_notumor.png,0.1439201533794403,0.2931719720363617,0.5062852501869202,0.056622590869665146
correct_high_confidence,data/Training/pituitary/Tr-pi_53.jpg,pituitary,pituitary,0.9999645,pituitary,reports/figures/v1_gradcam_cases/07_correct_high_confidence_pituitary_pituitary.png,8.996486940304749e-06,1.9081522623309866e-05,7.489340077881934e-06,0.9999644756317139
correct_lower_confidence,data/Testing/pituitary/Te-pi_94.jpg,pituitary,pituitary,0.36687458,pituitary,reports/figures/v1_gradcam_cases/08_correct_lower_confidence_pituitary_pituitary.png,0.0852285847067833,0.3416133224964142,0.2062845528125763,0.36687353253364563
incorrect_high_confidence,data/Testing/glioma/Te-gl_313.jpg,glioma,notumor,0.9838832,notumor,reports/figures/v1_gradcam_cases/09_incorrect_high_confidence_glioma_notumor.png,0.0026401374489068985,0.004587431903928518,0.9838833212852478,0.008889110758900642
incorrect_high_confidence,data/Testing/glioma/Te-gl_94.jpg,glioma,pituitary,0.9772689,pituitary,reports/figures/v1_gradcam_cases/10_incorrect_high_confidence_glioma_pituitary.png,0.0035995549988001585,0.01899867318570614,0.00013313903764355928,0.9772687554359436
incorrect_high_confidence,data/Training/meningioma/Tr-me_1273.jpg,meningioma,glioma,0.9607565,glioma,reports/figures/v1_gradcam_cases/11_incorrect_high_confidence_meningioma_glioma.png,0.9607560634613037,0.03728951886296272,0.0014543988509103656,0.0005000271485187113
incorrect_high_confidence,data/Training/meningioma/Tr-me_651.jpg,meningioma,glioma,0.9586856,glioma,reports/figures/v1_gradcam_cases/12_incorrect_high_confidence_meningioma_glioma.png,0.958686351776123,0.033244773745536804,0.006062693428248167,0.0020061819814145565
incorrect_lower_confidence,data/Training/notumor/Tr-no_1317.jpg,notumor,meningioma,0.37111676,meningioma,reports/figures/v1_gradcam_cases/13_incorrect_lower_confidence_notumor_meningioma.png,0.14314042031764984,0.37111690640449524,0.21636168658733368,0.2693808972835541
incorrect_lower_confidence,data/Training/glioma/Tr-gl_162.jpg,glioma,meningioma,0.42904627,meningioma,reports/figures/v1_gradcam_cases/14_incorrect_lower_confidence_glioma_meningioma.png,0.4256841838359833,0.42904600501060486,0.025942781940102577,0.11932702362537384
incorrect_lower_confidence,data/Testing/meningioma/Te-me_47.jpg,meningioma,glioma,0.43172812,glioma,reports/figures/v1_gradcam_cases/15_incorrect_lower_confidence_meningioma_glioma.png,0.43172845244407654,0.2686932384967804,0.002481655916199088,0.29709672927856445
incorrect_lower_confidence,data/Testing/meningioma/Te-me_52.jpg,meningioma,notumor,0.43191224,notumor,reports/figures/v1_gradcam_cases/16_incorrect_lower_confidence_meningioma_notumor.png,0.07709217816591263,0.3281871974468231,0.43191224336624146,0.16280843317508698
