epoch,epoch_seconds,learning_rate,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_glioma_precision,validation_glioma_recall,validation_glioma_f1,validation_meningioma_precision,validation_meningioma_recall,validation_meningioma_f1,validation_confusion_matrix
1,0.11669492721557617,0.001,1.0960029306451713,0.6019869605712511,0.5908599583768402,0.8104665654293005,0.7434782608695653,0.7441190238455653,0.8242424242424242,0.6476190476190476,0.7253333333333334,0.6445783132530121,0.6114285714285714,0.6275659824046921,"[[136, 52, 7, 15], [12, 107, 11, 45], [3, 5, 78, 8], [14, 2, 3, 192]]"
2,0.04216599464416504,0.001,0.7074584068070654,0.7680844458242782,0.7639618786899275,0.6248926079791525,0.7913043478260869,0.7979022009272804,0.8860759493670886,0.6666666666666666,0.7608695652173914,0.6390243902439025,0.7485714285714286,0.6894736842105263,"[[140, 60, 3, 7], [10, 131, 3, 31], [3, 6, 78, 7], [5, 8, 1, 197]]"
3,0.040692806243896484,0.001,0.5498970025391062,0.8211735485873952,0.8246478586216974,0.5152188801247141,0.8260869565217391,0.8322245734331534,0.8983050847457628,0.7571428571428571,0.8217054263565892,0.7032967032967034,0.7314285714285714,0.7170868347338936,"[[159, 45, 2, 4], [10, 128, 3, 34], [4, 3, 83, 4], [4, 6, 1, 200]]"
4,0.03833794593811035,0.001,0.4764673710054435,0.8460105557280347,0.8515480161518412,0.47501774080421616,0.8420289855072464,0.8504042094209425,0.9506172839506173,0.7333333333333333,0.8279569892473119,0.6911764705882353,0.8057142857142857,0.7440633245382586,"[[154, 51, 1, 4], [6, 141, 1, 27], [1, 5, 83, 5], [1, 7, 0, 203]]"
5,0.04423403739929199,0.001,0.42173259886885534,0.8733312635827383,0.8785350995863643,0.4255463455898174,0.855072463768116,0.8625586735600397,0.9371428571428572,0.780952380952381,0.8519480519480519,0.7472527472527473,0.7771428571428571,0.7619047619047619,"[[164, 39, 1, 6], [8, 136, 1, 30], [2, 2, 85, 5], [1, 5, 0, 205]]"
6,0.03710198402404785,0.001,0.3947380079741213,0.8696057125116423,0.8744385112155251,0.39575239705002824,0.8724637681159421,0.879519686745487,0.9597701149425287,0.7952380952380952,0.8697916666666666,0.7281553398058253,0.8571428571428571,0.7874015748031497,"[[167, 41, 1, 1], [5, 150, 1, 19], [1, 5, 85, 3], [1, 10, 0, 200]]"
7,0.03675079345703125,0.001,0.36845562164548834,0.8835765290282521,0.8891120874686514,0.3878536683925684,0.8681159420289855,0.8752001828218968,0.963855421686747,0.7619047619047619,0.851063829787234,0.7246376811594203,0.8571428571428571,0.7853403141361257,"[[160, 46, 1, 3], [4, 150, 1, 20], [1, 5, 85, 3], [1, 6, 0, 204]]"
8,0.03624081611633301,0.001,0.35258340496929563,0.8817137534927041,0.8871680963412673,0.3666303371173748,0.8739130434782608,0.8807386799574299,0.9597701149425287,0.7952380952380952,0.8697916666666666,0.7487179487179487,0.8342857142857143,0.7891891891891892,"[[167, 40, 1, 2], [5, 146, 1, 23], [1, 3, 86, 4], [1, 6, 0, 204]]"
9,0.03613591194152832,0.001,0.33940363700106363,0.886681154920832,0.8914457142972619,0.354227309209713,0.8797101449275362,0.8855026940690265,0.9597701149425287,0.7952380952380952,0.8697916666666666,0.7616580310880829,0.84,0.7989130434782609,"[[167, 40, 1, 2], [5, 147, 1, 22], [1, 3, 86, 4], [1, 3, 0, 207]]"
10,0.03638911247253418,0.001,0.32050510979113245,0.889164855634896,0.8950499390560881,0.343545622324598,0.8782608695652174,0.8840374481665256,0.9491525423728814,0.8,0.8682170542635659,0.7671957671957672,0.8285714285714286,0.7967032967032966,"[[168, 38, 1, 3], [7, 145, 1, 22], [1, 3, 86, 4], [1, 3, 0, 207]]"
11,0.03557991981506348,0.001,0.3136710022332986,0.8935113318845079,0.8975337549110538,0.326994566468225,0.8840579710144928,0.8897900738804638,0.9497206703910615,0.8095238095238095,0.8740359897172236,0.7575757575757576,0.8571428571428571,0.8042895442359249,"[[170, 38, 1, 1], [7, 150, 1, 17], [1, 4, 86, 3], [1, 6, 0, 204]]"
12,0.036795854568481445,0.001,0.3025435320396891,0.8950636448307979,0.899176057527726,0.32659432179685954,0.8898550724637682,0.8952319430016362,0.9714285714285714,0.8095238095238095,0.8831168831168831,0.7623762376237624,0.88,0.8169761273209549,"[[170, 38, 1, 1], [3, 154, 1, 17], [1, 4, 86, 3], [1, 6, 0, 204]]"
13,0.03525209426879883,0.001,0.29245825417661325,0.8997205836696678,0.9048757421512466,0.3163909878635752,0.8898550724637682,0.894317372647655,0.9326424870466321,0.8571428571428571,0.8933002481389578,0.8187134502923976,0.8,0.8092485549132948,"[[180, 27, 0, 3], [10, 140, 1, 24], [2, 2, 86, 4], [1, 2, 0, 208]]"
14,0.035842180252075195,0.001,0.2873282120746694,0.9009624340266997,0.9057094441997945,0.31053832488647404,0.8884057971014493,0.8936722962511169,0.9505494505494505,0.8238095238095238,0.8826530612244898,0.7891891891891892,0.8342857142857143,0.8111111111111111,"[[173, 33, 0, 4], [7, 146, 1, 21], [1, 4, 86, 3], [1, 2, 0, 208]]"
15,0.036691904067993164,0.001,0.2765666962095537,0.9090344613474076,0.9130576567490939,0.31003559112980744,0.8971014492753623,0.9019129389054354,0.9715909090909091,0.8142857142857143,0.8860103626943006,0.7857142857142857,0.88,0.8301886792452831,"[[171, 36, 0, 3], [3, 154, 1, 17], [1, 4, 86, 3], [1, 2, 0, 208]]"
16,0.03960013389587402,0.001,0.2738131293411101,0.9059298354548277,0.9104658756620927,0.2930943106179652,0.9014492753623189,0.906209622781498,0.9562841530054644,0.8333333333333334,0.8905852417302799,0.7958115183246073,0.8685714285714285,0.8306010928961749,"[[175, 33, 0, 2], [6, 152, 1, 16], [1, 4, 87, 2], [1, 2, 0, 208]]"
17,0.0368649959564209,0.001,0.2672049790315471,0.9053089102763117,0.9103029083604952,0.3022288836430812,0.8942028985507247,0.8991531292661775,0.9553072625698324,0.8142857142857143,0.8791773778920309,0.7835051546391752,0.8685714285714285,0.8238482384823849,"[[171, 36, 0, 3], [6, 152, 1, 16], [1, 4, 86, 3], [1, 2, 0, 208]]"
18,0.03561234474182129,0.001,0.25836908330609437,0.9130704750077616,0.917389360906065,0.28715491700863494,0.9014492753623189,0.9055021290264154,0.9565217391304348,0.8380952380952381,0.8934010152284264,0.8,0.8685714285714285,0.8328767123287671,"[[176, 32, 0, 2], [6, 152, 1, 16], [1, 4, 86, 3], [1, 2, 0, 208]]"
19,0.0374600887298584,0.001,0.25571370516197905,0.9093449239366657,0.913444938386973,0.2858831594171731,0.9028985507246376,0.906424891721622,0.9528795811518325,0.8666666666666667,0.9077306733167082,0.8258426966292135,0.84,0.8328611898016998,"[[182, 25, 0, 3], [7, 147, 1, 20], [1, 4, 86, 3], [1, 2, 0, 208]]"
20,0.03619098663330078,0.001,0.24191345909632944,0.9155541757218255,0.9201808926876622,0.2828145829231843,0.9057971014492754,0.9091238637162082,0.9528795811518325,0.8666666666666667,0.9077306733167082,0.8277777777777777,0.8514285714285714,0.8394366197183099,"[[182, 25, 0, 3], [7, 149, 1, 18], [1, 4, 86, 3], [1, 2, 0, 208]]"
21,0.037142038345336914,0.001,0.24823776635091818,0.9118286246507296,0.9167387938273697,0.2865556807189748,0.8971014492753623,0.9017088153207998,0.9558011049723757,0.8238095238095238,0.8849104859335039,0.7916666666666666,0.8685714285714285,0.8283378746594006,"[[173, 34, 0, 3], [6, 152, 1, 16], [1, 4, 86, 3], [1, 2, 0, 208]]"
