split_a,class_a,filename_a,path_a,split_b,class_b,filename_b,path_b,phash_distance,same_class,normalized_pixel_correlation,structural_similarity,meets_exclusion_rule
test,notumor,Tr-no_1062.jpg,data/Training/notumor/Tr-no_1062.jpg,train,notumor,Te-no_140.jpg,data/Testing/notumor/Te-no_140.jpg,2,True,0.9874319757254492,0.7546108961105347,False
test,notumor,Tr-no_39.jpg,data/Training/notumor/Tr-no_39.jpg,train,notumor,Te-no_81.jpg,data/Testing/notumor/Te-no_81.jpg,2,True,0.9997872179336804,0.7904124855995178,False
train,notumor,Tr-no_1238.jpg,data/Training/notumor/Tr-no_1238.jpg,validation,notumor,Tr-no_1141.jpg,data/Training/notumor/Tr-no_1141.jpg,4,True,0.9592043335510106,0.7732771635055542,False
test,notumor,Tr-no_909.jpg,data/Training/notumor/Tr-no_909.jpg,validation,notumor,Te-no_122.jpg,data/Testing/notumor/Te-no_122.jpg,4,True,0.9850172559725244,0.8067854642868042,False
train,meningioma,Te-me_157.jpg,data/Testing/meningioma/Te-me_157.jpg,validation,meningioma,Te-me_230.jpg,data/Testing/meningioma/Te-me_230.jpg,6,True,0.9958963256637269,0.9739793539047241,False
test,notumor,Te-no_108.jpg,data/Testing/notumor/Te-no_108.jpg,train,notumor,Tr-no_458.jpg,data/Training/notumor/Tr-no_458.jpg,6,True,0.9965225014272141,0.9638254642486572,False
test,notumor,Te-no_128.jpg,data/Testing/notumor/Te-no_128.jpg,train,notumor,Tr-no_1035.jpg,data/Training/notumor/Tr-no_1035.jpg,6,True,0.9941084271959099,0.9477213621139526,False
train,notumor,Te-no_13.jpg,data/Testing/notumor/Te-no_13.jpg,validation,notumor,Tr-no_449.jpg,data/Training/notumor/Tr-no_449.jpg,6,True,0.9931877215210179,0.9079097509384155,False
test,notumor,Te-no_170.jpg,data/Testing/notumor/Te-no_170.jpg,train,notumor,Te-no_207.jpg,data/Testing/notumor/Te-no_207.jpg,6,True,0.9966365812106118,0.9248402118682861,False
test,notumor,Te-no_206.jpg,data/Testing/notumor/Te-no_206.jpg,train,notumor,Te-no_119.jpg,data/Testing/notumor/Te-no_119.jpg,6,True,0.9921005470572474,0.8170532584190369,False
test,notumor,Te-no_231.jpg,data/Testing/notumor/Te-no_231.jpg,train,notumor,Tr-no_379.jpg,data/Training/notumor/Tr-no_379.jpg,6,True,0.9885508886225788,0.8565036058425903,False
train,notumor,Te-no_269.jpg,data/Testing/notumor/Te-no_269.jpg,validation,notumor,Tr-no_264.jpg,data/Training/notumor/Tr-no_264.jpg,6,True,0.993726011459002,0.9536052942276001,False
train,notumor,Te-no_294.jpg,data/Testing/notumor/Te-no_294.jpg,validation,notumor,Te-no_263.jpg,data/Testing/notumor/Te-no_263.jpg,6,True,0.9953898416091291,0.7512933611869812,False
test,notumor,Te-no_321.jpg,data/Testing/notumor/Te-no_321.jpg,train,notumor,Tr-no_1104.jpg,data/Training/notumor/Tr-no_1104.jpg,6,True,0.9278351919175233,0.6550331115722656,False
test,notumor,Te-no_35.jpg,data/Testing/notumor/Te-no_35.jpg,validation,notumor,Tr-no_735.jpg,data/Training/notumor/Tr-no_735.jpg,6,True,0.9530554721570914,0.669833242893219,False
test,notumor,Te-no_351.jpg,data/Testing/notumor/Te-no_351.jpg,train,notumor,Tr-no_1060.jpg,data/Training/notumor/Tr-no_1060.jpg,6,True,0.9917863049536949,0.7956780791282654,False
test,notumor,Te-no_371.jpg,data/Testing/notumor/Te-no_371.jpg,train,notumor,Tr-no_422.jpg,data/Training/notumor/Tr-no_422.jpg,6,True,0.9847400403710931,0.7932027578353882,False
train,notumor,Tr-no_1089.jpg,data/Training/notumor/Tr-no_1089.jpg,validation,notumor,Tr-no_323.jpg,data/Training/notumor/Tr-no_323.jpg,6,True,0.9901380470705572,0.9558266997337341,False
test,notumor,Tr-no_1175.jpg,data/Training/notumor/Tr-no_1175.jpg,train,notumor,Te-no_86.jpg,data/Testing/notumor/Te-no_86.jpg,6,True,0.9950363056831636,0.7939271330833435,False
test,notumor,Tr-no_1222.jpg,data/Training/notumor/Tr-no_1222.jpg,train,notumor,Te-no_391.jpg,data/Testing/notumor/Te-no_391.jpg,6,True,0.995803961395297,0.9322944283485413,False
test,notumor,Tr-no_1269.jpg,data/Training/notumor/Tr-no_1269.jpg,train,notumor,Tr-no_1353.jpg,data/Training/notumor/Tr-no_1353.jpg,6,True,0.9819218865938806,0.8308770656585693,False
train,notumor,Tr-no_1294.jpg,data/Training/notumor/Tr-no_1294.jpg,validation,notumor,Te-no_282.jpg,data/Testing/notumor/Te-no_282.jpg,6,True,0.9960927725289563,0.915948212146759,False
train,notumor,Tr-no_172.jpg,data/Training/notumor/Tr-no_172.jpg,validation,notumor,Te-no_141.jpg,data/Testing/notumor/Te-no_141.jpg,6,True,0.9944352083245822,0.9252551794052124,False
test,notumor,Tr-no_283.jpg,data/Training/notumor/Tr-no_283.jpg,train,notumor,Tr-no_1193.jpg,data/Training/notumor/Tr-no_1193.jpg,6,True,0.9571384388168923,0.7606431841850281,False
test,notumor,Tr-no_466.jpg,data/Training/notumor/Tr-no_466.jpg,train,notumor,Tr-no_1189.jpg,data/Training/notumor/Tr-no_1189.jpg,6,True,0.9825246253477431,0.887759804725647,False
test,notumor,Tr-no_489.jpg,data/Training/notumor/Tr-no_489.jpg,train,notumor,Tr-no_532.jpg,data/Training/notumor/Tr-no_532.jpg,6,True,0.979356566864242,0.8951623439788818,False
train,notumor,Tr-no_587.jpg,data/Training/notumor/Tr-no_587.jpg,validation,notumor,Te-no_169.jpg,data/Testing/notumor/Te-no_169.jpg,6,True,0.9938698150772,0.9205308556556702,False
train,notumor,Tr-no_85.jpg,data/Training/notumor/Tr-no_85.jpg,validation,notumor,Te-no_138.jpg,data/Testing/notumor/Te-no_138.jpg,6,True,0.971659394715558,0.7139336466789246,False
