,,width,width,width,height,height,height,aspect_ratio,aspect_ratio,aspect_ratio,file_size_bytes,file_size_bytes,file_size_bytes,mean_intensity,mean_intensity,mean_intensity,std_intensity,std_intensity,std_intensity,border_mean,border_mean,border_mean,center_mean,center_mean,center_mean,border_to_center_ratio,border_to_center_ratio,border_to_center_ratio,dark_border_fraction,dark_border_fraction,dark_border_fraction,bright_border_fraction,bright_border_fraction,bright_border_fraction
,,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median
class_name,final_split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glioma,test,506.2134831460674,35.07000686385885,512.0,507.29213483146066,31.48440439108628,512.0,0.9972785133750535,0.021139476020319833,1.0,19964.142322097377,4685.225141472374,19492.0,0.1376309894890374,0.04456549889930859,0.1316585838794708,0.15332796597637038,0.02678178920362634,0.1531434953212738,0.021607072822477497,0.02608353067545922,0.0166789218783378,0.26377501637301637,0.053497202927247814,0.2568445801734924,0.07544018876257484,0.0747199141817112,0.067249558866024,0.8919017244069913,0.12838969551274304,0.88671875,0.00019311797752808875,0.002343922328762638,0.0
glioma,train,506.82864038616253,35.9441607154045,512.0,507.8222043443282,33.20397250306018,512.0,0.9977294587168773,0.024721393758756018,1.0,19954.003218020916,5320.648208847156,19229.0,0.13482456297365672,0.04419586030752157,0.1273813396692276,0.15033018566242454,0.02770136757993932,0.1486244052648544,0.021745624223439057,0.02957639079344983,0.0159732438623905,0.25494103193618745,0.04907428744134244,0.2503437399864197,0.0793868001106128,0.08857428242542283,0.0648494288325309,0.8912007240547064,0.12463477494648044,0.89453125,0.0007257307589165988,0.007252805025327157,0.0
glioma,validation,510.2518796992481,17.76217350929081,512.0,510.2593984962406,13.757893309517758,512.0,1.0002314595679453,0.03544480056909374,1.0,20389.894736842107,5449.324615604798,19588.5,0.13477991728630279,0.0397096928313736,0.12707256525754926,0.1519866564164036,0.025056537943970832,0.15151955932378763,0.020154704253584853,0.022503689023079233,0.0142478551715612,0.2588412519684411,0.04809921447248161,0.25569999217987055,0.07355864144707641,0.0712036196564413,0.0576975438743829,0.8936413298872181,0.1269732738107476,0.9010416666666665,0.00017915883458646578,0.0015775855152680273,0.0
meningioma,test,493.9144144144144,65.92445195786709,512.0,497.10360360360363,59.71351731267558,512.0,0.991413785542601,0.03985845456370988,1.0,22564.337837837837,6013.389559094069,22064.5,0.17250014210606476,0.06387915358337169,0.16030788421630854,0.18042205361364122,0.02955696362068461,0.1765569597482681,0.04147273484095171,0.062419624653417695,0.031951086595654446,0.31230312337478,0.0662982465148131,0.30102109909057617,0.12385037979153023,0.14320901843736972,0.10309183970093724,0.8237190315315315,0.21373196004215897,0.85234375,0.002762528153153151,0.016545174528707275,0.0
meningioma,train,496.00290135396517,73.24694001779802,512.0,496.857833655706,70.40943804405731,512.0,0.9974897680179993,0.05410018503613568,1.0,22526.673114119923,9334.380115615624,21713.5,0.16653205888126063,0.05057023157715387,0.15806753933429715,0.1800718244230032,0.030229799309755168,0.17611505091190333,0.03429249418125712,0.041906240064416116,0.0298304772004485,0.30680032624958564,0.05765362079188653,0.29819098114967346,0.11005899479814911,0.1132029405481396,0.09792779386043544,0.8444972497582205,0.17339593326691533,0.85625,0.001707315844616374,0.018277414137064088,0.0
meningioma,validation,497.0945945945946,66.94899164260505,512.0,497.76576576576576,70.82109956772129,512.0,1.0004977839243219,0.05548390689090313,1.0,23324.936936936938,9940.815949994309,22505.0,0.17348097660788542,0.05462488918182643,0.1626174077391624,0.17946125123951884,0.029998992581316365,0.1755632385611534,0.03919521331847934,0.03903540858390707,0.03469975851476185,0.3075891075370548,0.061863533982526704,0.29946722090244293,0.12497093061169791,0.1067050885325111,0.11284184455871575,0.8200251032282282,0.18426767563963728,0.8428385416666666,0.0007425394144144117,0.005040911056073408,0.0
notumor,test,328.75524475524475,198.37910842353978,232.0,338.09090909090907,197.59408203385425,236.0,0.9752898921795715,0.15742644828569644,1.0,24175.20979020979,31281.131565402422,13605.0,0.2409614153154246,0.07809310916208112,0.227732241153717,0.2325733824001325,0.059577565444855346,0.2238057255744934,0.06793693073274235,0.06307809010463239,0.0481392964720726,0.4114034373860259,0.12970300688970235,0.3910366892814636,0.17154975566660724,0.16512210111027617,0.1354888826608657,0.613472465034965,0.36920530166807713,0.7575520833333333,0.010731716200466184,0.028899340634099317,0.0
notumor,train,305.0506706408346,155.31484766842468,230.0,314.80625931445604,148.7285256728588,243.0,0.9736511100417559,0.1781273462946252,1.0,20465.399403874813,21782.694121263718,13720.0,0.24825980093457833,0.0883057133633768,0.2358798235654831,0.23386189780141126,0.06076135891435176,0.2258607149124145,0.0715051118622233,0.06510985426090345,0.0563500858843326,0.4227549263821629,0.13490446792003782,0.4006089568138122,0.17523989595488385,0.16472880259958794,0.1377107799053192,0.5816749720566319,0.38459834698237255,0.7502604166666667,0.010167504967709871,0.023760828933630723,0.0
notumor,validation,306.34027777777777,150.26452959985718,229.0,321.7083333333333,143.88879131375825,246.0,0.951834413911119,0.13886632476169408,0.9974655819774718,20948.82638888889,18745.53803033062,14015.5,0.2618221967067155,0.08846765009272747,0.24901052564382545,0.24079897425447896,0.06077449284672869,0.239775076508522,0.07109451971210644,0.06940761988749208,0.05330116674304005,0.4506003632106715,0.13497400740322466,0.42506223917007446,0.1642995304285806,0.16371365016928388,0.13101849704980845,0.5749565972222223,0.40174337365435125,0.7850260416666667,0.007794415509259243,0.016123249252662418,0.0
pituitary,test,514.6136363636364,78.35331384522843,512.0,514.7878787878788,77.98079419423709,512.0,0.9995487640724425,0.007703079841748195,1.0,30831.825757575756,18595.070505039635,29053.5,0.19514352450090824,0.03833899570048371,0.19605629891157145,0.15937732828950338,0.019635282230502964,0.1596523970365524,0.06651925668870025,0.048688108940498014,0.06036203354597085,0.27348327478676127,0.03699211196694122,0.27155187726020813,0.24370025314221322,0.17373380142641723,0.20566514134407038,0.6563131313131313,0.24085318583231752,0.6576822916666667,0.00017854324494949206,0.0018511239709704988,0.0
pituitary,train,509.2123677786819,53.93642635506949,512.0,509.0325467860049,52.532684863159716,512.0,1.0002616746327304,0.009428533165981764,1.0,29237.975589910497,12844.117033075425,27975.0,0.19192740385419857,0.03178433838944271,0.1938735246658325,0.15875215701716422,0.019191771203359895,0.1586372703313827,0.06395552585570576,0.04129110990059022,0.0606341995298862,0.27091913805490975,0.036321934002969444,0.2716615200042724,0.2400257325832761,0.161648789261702,0.2181061804294586,0.6530260459045294,0.22882836781564067,0.6510416666666666,6.50511933821515e-05,0.0004175029864240722,0.0
pituitary,validation,508.0532319391635,57.557049519918635,512.0,508.36501901140684,57.49334372939759,512.0,0.9992731790288459,0.008026578657211809,1.0,29599.45247148289,13582.045906993511,28401.0,0.19355192140254682,0.03503691147725029,0.1946274787187576,0.15948252476213548,0.01764200460879025,0.1590520143508911,0.06463129357425952,0.04134450070648093,0.0657353028655052,0.2731996771840541,0.03519904092910819,0.2731158137321472,0.23672070921338498,0.1535832203400968,0.2334812134504318,0.6556232176806083,0.23373281460678105,0.6411458333333333,7.228295310519391e-05,0.00043312030022572275,0.0
